연번,시설명,군구,소재지,지정년도,lat,lng
1,뉴코아타운(1층),중구,홍예문로 90,2006,37.4763826280217,126.629604378432
2,답동신협,중구,제물량로 122,2006,37.4692464601028,126.630286761031
3,성미가엘복지관,중구,송학로 40,2006,37.4744492729173,126.62726167829
4,신한은행,중구,신포로 28,2006,37.471358157245,126.625426468167
5,옹진수협연안공판장,중구,북성동1가 104-14,2006,37.458922003117,126.59773528005
6,나성빌딩(1층),중구,인중로 176,2006,37.4686931673196,126.624746367486
7,태림봉,중구,차이나타운로59번길 23,2015,37.473969681495,126.619492342015
8,경신빌딩,중구,신포로 8,2006,37.4698110910758,126.623967222566
9,새동인천지하상가,중구,참외전로 117-15,2006,37.4760887599265,126.631432312465
10,연경,중구,차이나타운로 41,2017,37.4756312965383,126.619850659295
11,영진공사,중구,제물량로80번길 1,2006,37.4672743803071,126.634005079358
12,인현지하상가,중구,참외전로 117-15,2006,37.4760887599265,126.631432312465
13,(주)인천종합어시장,중구,연안부두로33번길 37,2006,37.4536792976154,126.606887619823
14,동인천지하상가,중구,참외전로 117-15,2006,37.4760887599265,126.631432312465
15,북측광장화장실,중구,도원동 7-1,2013,37.4673940978845,126.642621526941
16,신포지하상가,중구,우현로 67,2006,37.4731036006255,126.629202281006
17,중앙로지하상가,중구,참외전로 117-15,2006,37.4760887599265,126.631432312465
18,해양센터,중구,연안부두로 24-1,2006,37.4561479304308,126.602780672066
19,을왕주유소,중구,용유서로 460,2020,37.4590885346437,126.371990893197
20,오성주유소,중구,남북로 174,2020,37.4515654096839,126.419506651664
21,현대오일뱅크㈜직영신공항주유소,중구,신도시남로141번길 6,2020,37.4942417295582,126.489519017256
22,현대오일뱅크㈜직영영종셀프주유소,중구,자연대로 55,2020,37.4893214870176,126.558200850696
23,스카이파크 주유소,중구,영종대로 312,2021,37.4829454239085,126.505741812608
24,SK엔크린 영종셀프주유소,중구,운중로 218,2024,37.4994950391291,126.55500849375
25,인천중부신협동조합,동구,인천 동구 송림로 78(송림동),2005,37.4752133846994,126.643545236415
26,송림메디칼,동구,인천 동구 송림로 96(송림동),2005,37.4757748645249,126.645332869664
27,하나로쇼핑,미추홀구,토금중로 13(용현동),2008,37.4538678552607,126.635671563633
28,경향프라자,미추홀구,주안로 108(주안동),2008,37.4636607705384,126.681732679136
29,르네상스빌딩,미추홀구,경원대로 869(주안동),2009,37.4603920721703,126.689137871359
30,학익프라자,미추홀구,매소홀로 355(학익동),2010,37.4414509031689,126.661976343924
31,간석빌딩,미추홀구,주안로 219(주안동),2010,37.463875451099,126.694314910429
32,메인프라자,미추홀구,미추홀대로 716(주안동),2010,37.4612911947613,126.680591955752
33,리가스퀘어빌딩,미추홀구,주안로 116(주안동),2011,37.463477279369,126.682519496276
34,백운프라자,미추홀구,아암대로 29번길 48(용현동),2013,37.4571125851767,126.639054580774
35,롯데하이텔,미추홀구,미추홀대로 697번길 22,2013,37.459939904922,126.678580591481
36,호텔서해컨벤션웨딩홀,미추홀구,아암대로 87(용현동),2013,37.4538187902141,126.633615186715
37,현대유비스병원,미추홀구,독배로 503(숭의동),2013,37.4616110690988,126.643007135169
