연번,시설명,군구,소재지,지정년도
1,뉴코아타운(1층),중　구,홍예문로 90,2006
2,답동신협,중　구,제물량로 122,2006
3,성미가엘복지관,중　구,송학로 40,2006
4,신한은행,중　구,신포로 28,2006
5,옹진수협연안공판장,중　구,북성동1가 104-14,2006
6,나성빌딩(1층),중　구,인중로 176,2006
7,태림봉,중　구,차이나타운로59번길 23,2015
8,경신빌딩,중　구,신포로 8,2006
9,새동인천지하상가,중　구,참외전로 117-15,2006
10,연경,중　구,차이나타운로 41,2017
11,영진공사,중　구,제물량로80번길 1,2006
12,인현지하상가,중　구,참외전로 117-15,2006
13,(주)인천종합어시장,중　구,연안부두로33번길 37,2006
14,동인천지하상가,중　구,참외전로 117-15,2006
15,북측광장화장실,중　구,도원동 7-1,2013
16,신포지하상가,중　구,우현로 67,2006
17,중앙로지하상가,중　구,참외전로 117-15,2006
18,해양센터,중　구,연안부두로 24-1,2006
19,을왕주유소,중　구,용유서로 460,2020
20,오성주유소,중　구,남북로 174,2020
21,현대오일뱅크㈜직영신공항주유소,중　구,신도시남로141번길 6,2020
22,현대오일뱅크㈜직영영종셀프주유소,중　구,자연대로 55,2020
23,스카이파크 주유소,중　구,영종대로 312,2021
24,SK엔크린 영종셀프주유소,중　구,운중로 218,2024
25,인천중부신협동조합,동　구,인천 동구 송림로 78(송림동),2005
26,송림메디칼,동　구,인천 동구 송림로 96(송림동),2005
27,하나로쇼핑,미추홀구,토금중로 13(용현동),2008
28,경향프라자,미추홀구,주안로 108(주안동),2008
29,르네상스빌딩,미추홀구,경원대로 869(주안동),2009
30,학익프라자,미추홀구,매소홀로 355(학익동),2010
31,간석빌딩,미추홀구,주안로 219(주안동),2010
32,메인프라자,미추홀구,미추홀대로 716(주안동),2010
33,리가스퀘어빌딩,미추홀구,주안로 116(주안동),2011
34,백운프라자,미추홀구,아암대로 29번길 48(용현동),2013
35,롯데하이텔,미추홀구,미추홀대로 697번길 22,2013
36,호텔서해컨벤션웨딩홀,미추홀구,아암대로 87(용현동),2013
37,현대유비스병원,미추홀구,독배로 503(숭의동),2013
38,푸른교회,미추홀구,토금남로 28(용현동),2014
39,주안역지하상가,미추홀구,주안로 지하86 (주안동),2016
40,등대교회,미추홀구,승학길 26번길 39(문학동),2016
41,선정빌딩,미추홀구,학익소로 66(학익동),2017
42,모아빌딩,미추홀구,주염로 16(주안동),2017
43,주안제이타워,미추홀구,염전로 330(주안동),2018
44,주안시민지하상가,미추홀구,경인로343(주안동),2021
45,인하대역CGV타워,미추홀구,매소홀로 255(학익동),2021
46,명인빌딩,미추홀구,소성로 185번길 28(학익동),2024
47,롯데슈퍼,연수구,앵고개로 266(동춘동),2005
48,아크리아Ⅱ,연수구,해돋이로120번길 23(송도동),2015
49,탑피온빌딩,연수구,청능대로 109(연수동),2018
50,대동월드,연수구,용담로 153(연수동),2022
51,두손이리움1,연수구,청능대로 93(청학동),2023
52,센트럴파크2,연수구,센트럴로 194(송도동),2023
53,세계로기업(건설회관),남동구,문화로 147(구월동),2008
54,칼리오페,남동구,논고개로123번길 35(논현동),2010
55,탑프라자,남동구,경인로 520(간석동),2010
56,퍼스트하임프라자,남동구,호구포로 818(구월동),2011
57,만수주공쇼핑센터,남동구,백범로124번길 7(만수동),2011
58,벽산아파트 상가,남동구,호구포로924(만수동),2012
59,소래포구종합어시장,남동구,소래역로12(논현동),2013
60,노빌리안 명품,남동구,미래로 13(구월동),2014
61,장승백이 전통시장,남동구,장승로 21(만수동),2014
62,소래광장프라자,남동구,소래역로 30번길 22(논현동),2014
63,뉴인천빌딩,남동구,용천로 3(구월동),2015
64,청진네오스빌,남동구,예술로 230(구월동),2015
65,경복빌딩,남동구,경인로 607(간석동),2018
66,라피에스타,남동구,논고개로 61(논현동),2018
67,동호프라자,남동구,용천로 70(구월동),2019
68,한빛빌딩,남동구,미래로 41(구월동),2019
69,라움타워,남동구,논고개로 73(논현동),2019
70,근로자복지타운,남동구,앵고개로 448(고잔동),2019
71,장승백이상가 1동,남동구,인주대로888번길 27(만수동),2020
72,센타프라자,남동구,서창남순환로 222(서창동),2021
73,투엠프라자,남동구,서창남로 81(서창동),2021
74,메인프라자,남동구,성말로13번길 15(구월동),2022
75,구월지웰시티 푸르지오,남동구,남동대로799번길 34(구월동),2022
76,아이플렉스,남동구,논고개로123번길 17(논현동),2023
77,에코메트로3차 더타워,남동구,소래역남로 40(논현동),2023
