개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자
숭의1.3동행정복지센터 다목적실,숭의1.3동주민센터,다목적실,토+일+공휴일,09:00,18:00,00:00,00:00,Y,,,,,,,회의용책상+의자,방문,,인천광역시 미추홀구 석정로92번길 21-17,인천광역시 미추홀구 숭의동 85-1,인천광역시 미추홀구청,숭의1.3동행정복지센터,032-728-6114,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=24,37.46724062,126.6472275,2025-11-01
숭의1.3동행정복지센터 회의실,숭의1.3동주민센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,회의용책상+의자,공유누리 사이트 신청,,인천광역시 미추홀구 석정로92번길 21-17,인천광역시 미추홀구 숭의동 85-1,인천광역시 미추홀구청,숭의1.3동행정복지센터,032-728-6103,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=24,37.46724062,126.6472275,2025-11-01
숭의2동행정복지센터 회의실,숭의2동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,,20,,회의용책상+의자,방문+전화,,인천광역시 미추홀구 경인로34번길 20,인천광역시 미추홀구 숭의동 190-4,인천광역시 미추홀구청,숭의2동행정복지센터,032-728-6123,https://www.michuhol.go.kr/dongoffice/main.do?dept_sq=288,37.46303566,126.6472695,2025-11-01
용현1.4동 행정복지센터 다목적실,용현1.4동 행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,0,30,126,,방문+전화,,인천광역시 미추홀구 인주대로 198,인천광역시 미추홀구 용현동 140-10,인천광역시 미추홀구청,용현1.4동행정복지센터,032-728-6161,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=28,37.45480112,126.6585755,2025-11-01
용현1.4동 행정복지센터 다목적실,용현1.4동 행정복지센터,강의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,0,20,92,,방문+전화,,인천광역시 미추홀구 인주대로 198,인천광역시 미추홀구 용현동 140-10,인천광역시 미추홀구청,용현1.4동행정복지센터,032-728-6161,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=28,37.45480112,126.6585755,2025-11-01
용현2동행정복지센터 강당,용현2동행정복지센터,강당,토+일+공휴일,09:00,18:00,00:00,00:00,Y,3,10000,,,80,210,회의용책상+의자,방문+전화,,인천광역시 미추홀구 용마루로 56,인천광역시 미추홀구 용현동 0,인천광역시 미추홀구청,용현2동주민센터,032-728-6184,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=29,37.45827824,126.6447096,2025-11-01
용현3동행정복지센터(임시청사) 회의실,용현3동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,,,,방문+전화,,인천광역시 미추홀구 인주대로 145,인천광역시 미추홀구 용현동 491-48,인천광역시 미추홀구청,용현3동행정복지센터,032-728-6201,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=30,37.45666997,126.6533071,2025-11-01
용현5동행정복지센터 기타,용현5동행정복지센터,회의실,토+일+공휴일,09:00,18:00,00:00,00:00,N,1,0,1,0,50,,회의용책상+의자,방문+전화,,인천광역시 미추홀구 토금북로 60,인천광역시 미추홀구 용현동 611-6,인천광역시 미추홀구청,용현5동행정복지센터,032-728-6225,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=32,37.45255004,126.6402604,2025-11-01
학익1동 행정복지센터 기타,학익1동 행정복지센터,기타,토+일+공휴일,09:00,18:00,00:00,00:00,N,,,,,10,,책상+의자+책,방문+전화,,인천광역시 미추홀구 매소홀로 380,인천광역시 미추홀구 학익동 689-10,인천광역시 미추홀구청,학익1동 행정복지센터,032-867-7005,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=51,37.43983771,126.6641176,2025-11-01
학익1동행정복지센터 다목적실,학익1동행정복지센터,다목적실,토+일+공휴일,09:00,20:00,00:00,00:00,N,,,,,30,,책상+의자,방문+전화,,인천광역시 미추홀구 매소홀로 380,인천광역시 미추홀구 학익동 689-10,인천광역시 미추홀구청,학익1동 행정복지센터,032-867-7005,http://michu.incheon.kr/dongoffice/index.asp?dong_idx=51,37.43983771,126.6641176,2025-11-01
